Jan Lid,12/12/2012,123,123
Bram Oudenbroek,23/12/1996,qwerty,bram.oudenbroek@wur.nl
Mark Rutte,15/03/1976,vvd99,mark.rutte@gov.nl
Cedric Baron,21/08/1993,qwerty,cedric.baron@wur.nl
Luuk Duindam,16/10/1997,123,luuk.duindam@wur.nl
Gian Passania,10/07/1998,qwerty,gian.passania@wur.nl
Mathijs Scholten,11/11/1998,qwerty,mathijs.scholten@wur.nl
Tom van der Velde,18/02/1999,qwerty,tom.vandervelde@wur.nl
Joram Verhoeven,01/01/1997,qwerty,joram.verhoeven@wur.nl
Barend M. Ember,02/17/1960,qwerty,bm.ember@wur.nl
Mark,01/01/2000,qwert,mark@wur.nl
